time,pitch,pitch_filt
0.156,-11.3475, -11.3888
0.160,-11.3040, -11.3738
0.164,-11.2520, -11.3505
0.168,-11.1912, -11.3177
0.172,-11.1236, -11.2762
0.176,-11.0484, -11.2255
0.180,-10.9689, -11.1664
0.184,-10.8840, -11.0999
0.188,-10.7943, -11.0269
0.192,-10.7012, -10.9480
0.196,-10.6071, -10.8641
0.200,-10.5007, -10.7759
0.204,-10.4139, -10.6837
0.208,-10.3016, -10.5886
0.212,-10.2034, -10.4911
0.216,-10.0951, -10.3917
0.220,-9.9847, -10.2901
0.224,-9.8722, -10.1869
0.228,-9.7579, -10.0796
0.232,-9.6415, -9.9710
0.236,-9.5230, -9.8590
0.240,-9.4029, -9.7450
0.244,-9.2804, -9.6290
0.248,-9.1568, -9.5111
0.252,-9.0353, -9.3913
0.256,-8.9171, -9.2703
0.260,-8.7993, -9.1490
0.264,-8.6829, -9.0282
0.268,-8.5642, -8.9089
0.272,-8.4444, -8.7907
0.276,-8.3249, -8.6730
0.280,-8.2045, -8.5549
0.284,-8.0818, -8.4362
0.288,-7.9582, -8.3163
0.292,-7.8333, -8.1956
0.296,-7.7042, -8.0737
0.300,-7.5648, -7.9498
0.304,-7.4433, -7.8236
0.308,-7.2894, -7.6948
0.312,-7.1616, -7.5629
0.316,-7.0215, -7.4285
0.320,-6.8791, -7.2921
0.324,-6.7339, -7.1549
0.328,-6.5867, -7.0146
0.332,-6.4399, -6.8743
0.336,-6.2929, -6.7303
0.340,-6.1467, -6.5848
0.344,-6.0025, -6.4386
0.348,-5.8600, -6.2924
0.352,-5.7190, -6.1472
0.356,-5.5774, -6.0031
0.360,-5.4411, -5.8604
0.364,-5.3069, -5.7194
0.368,-5.1757, -5.5802
0.372,-5.0471, -5.4433
0.376,-4.9209, -5.3091
0.380,-4.7995, -5.1779
0.384,-4.6798, -5.0495
0.388,-4.5663, -4.9241
0.392,-4.4558, -4.8021
0.396,-4.3509, -4.6837
0.400,-4.2492, -4.5695
0.404,-4.1475, -4.4592
0.408,-4.0640, -4.3533
0.412,-3.9617, -4.2515
0.416,-3.8822, -4.1537
0.420,-3.7975, -4.0596
0.424,-3.7182, -3.9691
0.428,-3.6411, -3.8827
0.432,-3.5661, -3.7986
0.436,-3.4947, -3.7193
0.440,-3.4264, -3.6418
0.444,-3.3599, -3.5674
0.448,-3.2928, -3.4956
0.452,-3.2284, -3.4262
0.456,-3.1642, -3.3587
0.460,-3.0975, -3.2926
0.464,-3.0295, -3.2270
0.468,-2.9644, -3.1615
0.472,-2.8963, -3.0958
0.476,-2.8288, -3.0295
0.480,-2.7577, -2.9626
0.484,-2.6871, -2.8951
0.488,-2.6165, -2.8268
0.492,-2.5442, -2.7574
0.496,-2.4748, -2.6871
0.500,-2.4044, -2.6164
0.504,-2.3346, -2.5458
