time,pitch,p,i,d
6.060,-1.36,1.37,0.01,0.51
6.064,-1.37,1.38,0.02,0.54
6.068,-1.38,1.39,0.02,0.59
6.072,-1.40,1.41,0.03,0.71
6.076,-1.41,1.42,0.03,0.78
6.080,-1.43,1.44,0.04,0.74
6.084,-1.44,1.45,0.05,0.63
6.088,-1.44,1.45,0.05,0.41
6.092,-1.44,1.45,0.06,-0.04
6.096,-1.41,1.42,0.06,-0.75
6.100,-1.38,1.39,0.07,-1.25
6.104,-1.33,1.34,0.07,-2.05
6.108,-1.27,1.28,0.08,-2.92
6.112,-1.19,1.20,0.08,-3.51
6.116,-1.09,1.10,0.09,-4.50
6.120,-0.97,0.98,0.09,-5.48
6.124,-0.87,0.88,0.10,-5.32
6.128,-0.77,0.78,0.10,-5.04
6.132,-0.66,0.67,0.10,-5.33
6.136,-0.57,0.58,0.10,-4.84
6.140,-0.49,0.50,0.11,-4.18
6.144,-0.41,0.42,0.11,-3.97
6.148,-0.33,0.34,0.11,-4.03
6.152,-0.23,0.24,0.11,-4.59
6.156,-0.12,0.13,0.11,-5.18
6.160,-0.02,0.03,0.11,-5.12
6.164,0.06,-0.05,0.11,-5.14
6.168,0.20,-0.19,0.11,-6.12
6.172,0.35,-0.34,0.11,-7.24
6.176,0.48,-0.47,0.11,-6.97
6.180,0.60,-0.59,0.10,-6.16
6.184,0.73,-0.72,0.10,-6.27
6.188,0.84,-0.83,0.10,-5.89
6.192,0.94,-0.93,0.09,-5.05
6.196,1.01,-1.00,0.09,-4.28
6.200,1.08,-1.07,0.09,-3.71
6.204,1.16,-1.15,0.08,-3.78
6.208,1.23,-1.22,0.08,-3.70
6.212,1.29,-1.28,0.07,-3.24
6.216,1.34,-1.33,0.06,-2.61
6.220,1.39,-1.38,0.06,-2.51
6.224,1.45,-1.44,0.05,-2.70
6.228,1.49,-1.48,0.05,-2.45
6.232,1.52,-1.51,0.04,-1.77
6.236,1.55,-1.54,0.04,-1.53
6.240,1.57,-1.56,0.03,-1.35
6.244,1.58,-1.57,0.02,-0.76
6.248,1.58,-1.57,0.02,-0.20
6.252,1.57,-1.56,0.01,0.28
6.256,1.55,-1.54,0.00,0.82
6.260,1.53,-1.52,0.00,1.09
6.264,1.49,-1.48,0.00,1.49
6.268,1.44,-1.43,0.00,2.21
6.272,1.38,-1.37,0.00,2.76
6.276,1.31,-1.30,-0.01,3.14
6.280,1.25,-1.24,-0.01,3.20
6.284,1.17,-1.16,-0.01,3.61
6.288,1.08,-1.07,-0.02,4.20
6.292,0.99,-0.98,-0.02,4.41
6.296,0.89,-0.88,-0.03,4.73
6.300,0.79,-0.78,-0.03,5.20
6.304,0.67,-0.66,-0.03,5.55
6.308,0.55,-0.54,-0.03,5.98
6.312,0.42,-0.41,-0.04,6.16
6.316,0.30,-0.29,-0.04,6.12
6.320,0.18,-0.17,-0.04,6.22
6.324,0.05,-0.04,-0.04,6.34
6.328,-0.06,0.07,-0.04,6.44
6.332,-0.19,0.20,-0.04,6.44
6.336,-0.32,0.33,-0.04,6.48
6.340,-0.45,0.46,-0.03,6.59
6.344,-0.58,0.59,-0.03,6.50
6.348,-0.71,0.72,-0.03,6.36
6.352,-0.83,0.84,-0.03,6.28
6.356,-0.95,0.96,-0.02,6.06
6.360,-1.07,1.08,-0.02,5.63
6.364,-1.18,1.19,-0.01,5.62
6.368,-1.28,1.29,-0.01,5.54
6.372,-1.38,1.39,0.00,5.18
6.376,-1.48,1.49,0.00,4.90
6.380,-1.57,1.58,0.00,4.70
6.384,-1.65,1.66,0.00,4.29
6.388,-1.73,1.74,0.00,3.86
6.392,-1.79,1.80,0.01,3.60
6.396,-1.85,1.86,0.02,3.16
6.400,-1.90,1.91,0.03,2.78
6.404,-1.95,1.96,0.03,2.43
6.408,-1.98,1.99,0.04,1.97
6.412,-2.01,2.02,0.05,1.59
6.416,-2.03,2.04,0.06,1.20
6.420,-2.05,2.06,0.07,0.81
6.424,-2.05,2.06,0.08,0.57
6.428,-2.06,2.07,0.08,0.29
6.432,-2.06,2.07,0.09,0.06
6.436,-2.04,2.05,0.10,-0.34
6.440,-2.02,2.03,0.11,-0.81
6.444,-2.00,2.01,0.12,-1.10
6.448,-1.97,1.98,0.12,-1.32
6.452,-1.94,1.95,0.13,-1.55
6.456,-1.90,1.91,0.14,-1.74
6.460,-1.86,1.87,0.15,-1.96
6.464,-1.80,1.81,0.15,-2.38
6.468,-1.75,1.76,0.16,-2.71
6.472,-1.69,1.70,0.17,-2.89
6.476,-1.63,1.64,0.17,-3.07
6.480,-1.56,1.57,0.18,-3.14
6.484,-1.50,1.51,0.19,-3.14
6.488,-1.43,1.44,0.19,-3.25
6.492,-1.36,1.37,0.20,-3.45
6.496,-1.29,1.30,0.20,-3.44
6.500,-1.22,1.23,0.21,-3.51
6.504,-1.15,1.16,0.21,-3.63
6.508,-1.08,1.09,0.22,-3.58
6.512,-1.00,1.01,0.22,-3.64
6.516,-0.92,0.93,0.23,-3.80
6.520,-0.85,0.86,0.23,-3.72
6.524,-0.78,0.79,0.23,-3.65
6.528,-0.71,0.72,0.23,-3.64
6.532,-0.63,0.64,0.24,-3.60
6.536,-0.57,0.58,0.24,-3.36
6.540,-0.51,0.52,0.24,-3.17
6.544,-0.44,0.45,0.24,-3.32
6.548,-0.38,0.39,0.25,-3.04
6.552,-0.33,0.34,0.25,-2.78
6.556,-0.27,0.28,0.25,-2.72
