time,label,pitch,filtered
6.056,[kmtcs],1.8107, 1.8654
6.060,[kmtcs],1.7849, 1.8478
6.064,[kmtcs],1.7978, 1.8299
6.068,[kmtcs],1.8034, 1.8131
6.072,[kmtcs],1.7265, 1.7984
6.076,[kmtcs],1.7607, 1.7856
6.080,[kmtcs],1.7677, 1.7742
6.084,[kmtcs],1.7362, 1.7646
6.088,[kmtcs],1.6944, 1.7530
6.092,[kmtcs],1.7512, 1.7409
6.096,[kmtcs],1.7578, 1.7378
6.100,[kmtcs],1.6707, 1.7306
6.104,[kmtcs],1.7222, 1.7234
6.108,[kmtcs],1.6954, 1.7190
6.112,[kmtcs],1.6924, 1.7150
6.116,[kmtcs],1.7112, 1.7032
6.120,[kmtcs],1.6377, 1.6938
6.124,[kmtcs],1.6807, 1.6921
6.128,[kmtcs],1.6765, 1.6815
6.132,[kmtcs],1.6557, 1.6742
6.136,[kmtcs],1.6437, 1.6675
6.140,[kmtcs],1.5825, 1.6575
6.144,[kmtcs],1.6558, 1.6511
6.148,[kmtcs],1.5799, 1.6359
6.152,[kmtcs],1.5576, 1.6199
6.156,[kmtcs],1.5702, 1.6048
6.160,[kmtcs],1.5397, 1.5887
6.164,[kmtcs],1.5240, 1.5758
6.168,[kmtcs],1.5496, 1.5539
6.172,[kmtcs],1.4677, 1.5428
6.176,[kmtcs],1.5247, 1.5314
6.180,[kmtcs],1.4823, 1.5177
6.184,[kmtcs],1.4798, 1.5069
6.188,[kmtcs],1.4764, 1.4974
6.192,[kmtcs],1.4173, 1.4842
6.196,[kmtcs],1.4934, 1.4777
6.200,[kmtcs],1.4137, 1.4634
6.204,[kmtcs],1.4314, 1.4542
6.208,[kmtcs],1.4108, 1.4445
6.212,[kmtcs],1.4039, 1.4335
6.216,[kmtcs],1.3850, 1.4262
6.220,[kmtcs],1.4176, 1.4093
6.224,[kmtcs],1.3266, 1.4029
6.228,[kmtcs],1.4074, 1.3918
6.232,[kmtcs],1.3508, 1.3834
6.236,[kmtcs],1.3496, 1.3747
6.240,[kmtcs],1.3725, 1.3683
6.244,[kmtcs],1.3201, 1.3588
6.248,[kmtcs],1.3833, 1.3589
6.252,[kmtcs],1.3164, 1.3497
6.256,[kmtcs],1.3673, 1.3483
6.260,[kmtcs],1.3569, 1.3475
6.264,[kmtcs],1.3364, 1.3453
6.268,[kmtcs],1.3600, 1.3493
6.272,[kmtcs],1.3874, 1.3467
6.276,[kmtcs],1.3405, 1.3539
6.280,[kmtcs],1.3894, 1.3551
6.284,[kmtcs],1.3659, 1.3596
6.288,[kmtcs],1.3956, 1.3661
6.292,[kmtcs],1.4041, 1.3707
6.296,[kmtcs],1.3700, 1.3746
6.300,[kmtcs],1.4582, 1.3850
6.304,[kmtcs],1.4137, 1.3919
6.308,[kmtcs],1.4480, 1.4039
6.312,[kmtcs],1.4616, 1.4150
6.316,[kmtcs],1.4784, 1.4278
6.320,[kmtcs],1.4893, 1.4454
6.324,[kmtcs],1.5193, 1.4551
6.328,[kmtcs],1.5066, 1.4734
6.332,[kmtcs],1.5579, 1.4885
6.336,[kmtcs],1.5659, 1.5048
6.340,[kmtcs],1.6065, 1.5227
6.344,[kmtcs],1.6249, 1.5443
6.348,[kmtcs],1.6405, 1.5671
6.352,[kmtcs],1.7051, 1.5951
6.356,[kmtcs],1.6936, 1.6206
6.360,[kmtcs],1.7660, 1.6494
6.364,[kmtcs],1.7873, 1.6789
6.368,[kmtcs],1.8235, 1.7117
6.372,[kmtcs],1.8580, 1.7475
6.376,[kmtcs],1.8891, 1.7802
6.380,[kmtcs],1.8971, 1.8171
6.384,[kmtcs],1.9597, 1.8470
6.388,[kmtcs],1.9725, 1.8779
6.392,[kmtcs],2.0320, 1.9086
6.396,[kmtcs],2.0579, 1.9415
6.400,[kmtcs],2.1056, 1.9771
6.404,[kmtcs],2.1566, 2.0175
6.408,[kmtcs],2.1709, 2.0561
6.412,[kmtcs],2.2510, 2.0983
6.416,[kmtcs],2.2705, 2.1391
6.420,[kmtcs],2.3203, 2.1825
6.424,[kmtcs],2.3658, 2.2255
6.428,[kmtcs],2.3961, 2.2678
6.432,[kmtcs],2.4248, 2.3118
6.436,[kmtcs],2.4804, 2.3493
6.440,[kmtcs],2.4950, 2.3884
6.444,[kmtcs],2.5647, 2.4251
6.448,[kmtcs],2.5910, 2.4624
6.452,[kmtcs],2.6281, 2.5021
6.456,[kmtcs],2.6789, 2.5434
6.460,[kmtcs],2.6954, 2.5827
6.464,[kmtcs],2.7722, 2.6241
6.468,[kmtcs],2.7714, 2.6620
6.472,[kmtcs],2.8176, 2.7012
6.476,[kmtcs],2.8725, 2.7396
6.480,[kmtcs],2.8956, 2.7762
6.484,[kmtcs],2.9295, 2.8151
6.488,[kmtcs],2.9994, 2.8503
6.492,[kmtcs],3.0084, 2.8916
6.496,[kmtcs],3.0754, 2.9318
6.500,[kmtcs],3.0935, 2.9713
6.504,[kmtcs],3.1055, 3.0117
6.508,[kmtcs],3.1759, 3.0495
6.512,[kmtcs],3.1601, 3.0813
6.516,[kmtcs],3.2191, 3.1138
6.520,[kmtcs],3.2273, 3.1413
6.524,[kmtcs],3.2497, 3.1694
6.528,[kmtcs],3.2927, 3.1977
6.532,[kmtcs],3.3043, 3.2207
6.536,[kmtcs],3.3084, 3.2483
6.540,[kmtcs],3.3782, 3.2706
6.544,[kmtcs],3.3538, 3.2953
6.548,[kmtcs],3.3863, 3.3186
6.552,[kmtcs],3.4170, 3.3389
6.556,[kmtcs],3.3941, 3.3593
6.560,[kmtcs],3.4573, 3.3788
6.564,[kmtcs],3.4256, 3.3918
6.568,[kmtcs],3.4457, 3.4085
6.572,[kmtcs],3.4654, 3.4207
6.576,[kmtcs],3.4451, 3.4295
6.580,[kmtcs],3.4812, 3.4403
6.584,[kmtcs],3.4370, 3.4436
6.588,[kmtcs],3.4657, 3.4497
6.592,[kmtcs],3.4732, 3.4518
6.596,[kmtcs],3.4533, 3.4517
6.600,[kmtcs],3.4387, 3.4535
6.604,[kmtcs],3.4386, 3.4495
6.608,[kmtcs],3.4112, 3.4472
6.612,[kmtcs],3.4312, 3.4375
6.616,[kmtcs],3.3762, 3.4259
6.620,[kmtcs],3.3660, 3.4143
6.624,[kmtcs],3.3785, 3.4010
6.628,[kmtcs],3.3351, 3.3852
6.632,[kmtcs],3.3048, 3.3698
6.636,[kmtcs],3.2950, 3.3493
6.640,[kmtcs],3.2639, 3.3314
6.644,[kmtcs],3.2501, 3.3096
6.648,[kmtcs],3.2255, 3.2842
6.652,[kmtcs],3.1781, 3.2622
6.656,[kmtcs],3.1884, 3.2398
6.660,[kmtcs],3.1578, 3.2158
6.664,[kmtcs],3.1297, 3.1934
6.668,[kmtcs],3.1179, 3.1712
6.672,[kmtcs],3.0945, 3.1503
6.676,[kmtcs],3.0900, 3.1324
6.680,[kmtcs],3.0635, 3.1117
6.684,[kmtcs],3.0294, 3.0936
6.688,[kmtcs],3.0340, 3.0760
6.692,[kmtcs],3.0014, 3.0569
6.696,[kmtcs],2.9752, 3.0378
6.700,[kmtcs],2.9719, 3.0170
6.704,[kmtcs],2.9450, 2.9977
6.708,[kmtcs],2.9121, 2.9795
6.712,[kmtcs],2.9308, 2.9585
6.716,[kmtcs],2.8731, 2.9403
6.720,[kmtcs],2.8842, 2.9227
6.724,[kmtcs],2.8632, 2.9042
6.728,[kmtcs],2.8490, 2.8879
6.732,[kmtcs],2.8616, 2.8746
6.736,[kmtcs],2.8019, 2.8592
6.740,[kmtcs],2.8452, 2.8496
6.744,[kmtcs],2.8122, 2.8378
6.748,[kmtcs],2.8067, 2.8280
6.752,[kmtcs],2.8007, 2.8196
6.756,[kmtcs],2.8102, 2.8101
6.760,[kmtcs],2.7801, 2.8069
6.764,[kmtcs],2.8071, 2.7980
6.768,[kmtcs],2.7581, 2.7937
6.772,[kmtcs],2.7911, 2.7882
6.776,[kmtcs],2.7745, 2.7828
6.780,[kmtcs],2.7383, 2.7756
6.784,[kmtcs],2.8029, 2.7713
6.788,[kmtcs],2.7425, 2.7648
6.792,[kmtcs],2.7809, 2.7645
6.796,[kmtcs],2.7479, 2.7609
6.800,[kmtcs],2.7583, 2.7592
6.804,[kmtcs],2.7575, 2.7598
6.808,[kmtcs],2.7741, 2.7529
6.812,[kmtcs],2.7283, 2.7545
6.816,[kmtcs],2.7855, 2.7512
6.820,[kmtcs],2.7553, 2.7531
6.824,[kmtcs],2.7852, 2.7542
6.828,[kmtcs],2.7928, 2.7580
6.832,[kmtcs],2.7631, 2.7624
6.836,[kmtcs],2.8344, 2.7726
6.840,[kmtcs],2.7946, 2.7773
6.844,[kmtcs],2.8314, 2.7875
6.848,[kmtcs],2.8345, 2.7960
6.852,[kmtcs],2.8517, 2.8061
6.856,[kmtcs],2.8470, 2.8202
6.860,[kmtcs],2.9067, 2.8277
6.864,[kmtcs],2.8575, 2.8432
6.868,[kmtcs],2.9150, 2.8549
6.872,[kmtcs],2.9052, 2.8680
6.876,[kmtcs],2.9385, 2.8802
6.880,[kmtcs],2.9424, 2.8948
6.884,[kmtcs],2.9363, 2.9049
6.888,[kmtcs],3.0033, 2.9225
6.892,[kmtcs],2.9659, 2.9348
6.896,[kmtcs],3.0006, 2.9501
6.900,[kmtcs],3.0134, 2.9631
6.904,[kmtcs],3.0242, 2.9772
6.908,[kmtcs],3.0242, 2.9920
6.912,[kmtcs],3.0744, 3.0009
6.916,[kmtcs],3.0273, 3.0167
6.920,[kmtcs],3.0955, 3.0282
6.924,[kmtcs],3.0787, 3.0403
6.928,[kmtcs],3.0941, 3.0525
6.932,[kmtcs],3.1113, 3.0659
6.936,[kmtcs],3.0970, 3.0747
6.940,[kmtcs],3.1543, 3.0894
6.944,[kmtcs],3.1143, 3.0969
6.948,[kmtcs],3.1548, 3.1082
6.952,[kmtcs],3.1436, 3.1185
6.956,[kmtcs],3.1508, 3.1266
6.960,[kmtcs],3.1562, 3.1357
